[Mar 5 20:48:49] 
[Mar 5 20:48:49] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.15==
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescConfigs.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescUrlsPaths.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescNewAdmin.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescWpConfig.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamDescDatabase.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Descriptors/ParamsDescriptors.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/PrmMng.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Items/ParamFormTables.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Items/ParamFormUsersReset.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Items/ParamItem.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Items/ParamOption.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Items/ParamFormPass.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Items/ParamFormWpConfig.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Items/ParamForm.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Params/Items/ParamFormPlugins.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Hooks/Hook.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Hooks/HooksMng.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/DupArchive/Daws.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/DupArchive/DawsExpandState.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/DupArchive/DawsLogger.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/Files/RemoveFiles.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/Files/Filters.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/Files/FilterMng.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/Database/DbCleanup.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/Database/QueryFixes.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/Database/DbUserMode.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Deploy/Database/DbReplace.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Addons/InstAddonsManager.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Core/Addons/InstAbstractAddonCore.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/wp-config-sample.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/webfonts/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff2 >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff2 >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/webfonts/fa-brands-400.woff >>> /home/dn072025/dynex.com.ua/www
